system:index,Latitude,Longitude,angle,day,distance,elevation,fid,first,image_date,lenght,month,ndvi,plot,position,position_n,section,targetdate,year,.geo
0000000000000000003f,64.13240527759552,-51.37077277394025,39.32566790790118,12,0.611461568870001,44.84375,193,0.5075075075075075,2020-09-12,1.22340762123298,9,0.5075075075075075,loi3,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37077601035534,64.13240436641516]}"
00000000000000000040,64.1323967350955,-51.370788364686156,38.46786322559063,12,0.606035684838977,44.234375,196,0.5923076923076923,2020-09-12,1.212551553815643,9,0.5923076923076923,loi3,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37078608816218,64.13239543168969]}"
00000000000000000044,64.1327655371732,-51.37017808125791,258.50875232451034,12,0.80564911729548,54.6171875,207,0.36628643852978454,2020-09-12,1.611936599702707,9,0.36628643852978454,loi4,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37017921494951,64.13276670140465]}"
00000000000000000045,64.1327685123534,-51.37014615656168,258.06614265562393,12,0.783432351897985,54.5703125,210,0.4431118314424635,2020-09-12,1.567485466999918,9,0.4431118314424635,loi4,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37014862487418,64.13276677908961]}"
00000000000000000046,64.13278396261501,-51.370152607111656,81.82537012440885,12,0.72789594038956,54.5703125,213,0.4431118314424635,2020-09-12,1.456368637788576,9,0.4431118314424635,loi4,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37014886197263,64.13278459666475]}"
00000000000000000047,64.13278098800706,-51.370182539199185,73.44678192458252,12,0.770430074502597,54.6953125,216,0.36628643852978454,2020-09-12,1.541470608139436,9,0.36628643852978454,loi4,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.370179392788025,64.13278006458596]}"
0000000000000000001e,64.13250004744691,-51.37305525092277,271.2246638432331,12,2.737125225588945,34.5625,95,0.4553734061930783,2020-09-12,5.476418903273876,9,0.4553734061930783,sal1,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37305121629766,64.13250101559471]}"
0000000000000000001f,64.1324995057366,-51.37294255827698,270.7086057402115,12,2.749210250216934,34.765625,98,0.5261228230980751,2020-09-12,5.500598539737197,9,0.5261228230980751,sal1,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37293905379491,64.13250130261754]}"
00000000000000000020,64.1325606556231,-51.37294032757807,91.72242673913617,12,2.744740151604364,36.859375,101,0.5261228230980751,2020-09-12,5.491654801664638,9,0.5261228230980751,sal1,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37293983016598,64.13255920972045]}"
00000000000000000021,64.13256164121604,-51.37305314967929,91.24038074419262,12,2.748644074803915,35.84375,104,0.4553734061930783,2020-09-12,5.499465727472357,9,0.4553734061930783,sal1,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37305205264118,64.13256337708935]}"
0000000000000000001d,64.13167441386325,-51.37144981653312,125.2443148285302,12,2.0093086497775,23.3046875,92,0.4872495446265938,2020-09-12,4.020209286196993,9,0.4872495446265938,sal2,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.371449484186215,64.1316765608323]}"
00000000000000000024,64.13161319575532,-51.371531135258735,306.17962046322873,12,2.007631827198945,22.6015625,115,0.6140851772543421,2020-09-12,4.016854304372112,9,0.6140851772543421,sal2,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37153022161023,64.13161399141899]}"
00000000000000000025,64.13159203995525,-51.37146410233086,306.17962046018283,12,2.018160331549547,22.5859375,118,0.6140851772543421,2020-09-12,4.037919662254575,9,0.6140851772543421,sal2,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.371468746589265,64.13159187537882]}"
00000000000000000026,64.13165361374207,-51.37138229526562,125.80239796666305,12,2.012849348720418,23.4453125,121,0.5502571294997662,2020-09-12,4.027293494232866,9,0.5502571294997662,sal2,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37137781280826,64.13165447073834]}"
00000000000000000037,64.13374913966672,-51.367765066502656,27.903202743315333,12,2.259715745784379,39.921875,171,0.6954887218045113,2020-09-12,4.521222237994253,9,0.6954887218045113,sal3,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.36776529931942,64.13374835690007]}"
00000000000000000038,64.13371351871096,-51.36780904095143,29.43541636185357,12,2.250519051208733,39.8125,174,0.6954887218045113,2020-09-12,4.502821554892486,9,0.6954887218045113,sal3,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.36780561632129,64.13371261882978]}"
00000000000000000039,64.133693031274,-51.367696942680496,211.10027964795307,12,2.231202926825175,38.625,177,0.6747404844290658,2020-09-12,4.464174009313642,9,0.6747404844290658,sal3,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.36769321333112,64.13369508424121]}"
